StudentId,STATEATTEND1,STATEATTEND2,STATE
425c16dc-fac4-4459-a9f2-f443c0e416f3,ACTSTATEATTEND1GA,ACTSTATEATTEND2SC,"DECSTATEAL,DECSTATEGA,DECSTATENC"
a5b2797d-a1f1-43cd-b05d-541ea226a240,ACTSTATEATTEND1AZ,,
5c65d7ce-de0f-4bbe-b173-90c9b5a78739,ACTSTATEATTEND1OH,ACTSTATEATTEND2WA,
380a8953-2a4f-4d71-a0f3-95dc947067f9,,,"DECSTATECA,DECSTATETX"
82cdfc9e-bff2-45fb-9625-9ff7dc0d5fba,ACTSTATEATTEND1AZ,,
5126f2e5-0bca-4c86-b9d7-c9e47b72d1ef,,,"DECSTATEIL,DECSTATENC,DECSTATENY"
4c7f604d-5fd6-4fcf-87a1-ec3d2c21be83,,,"DECSTATECA,DECSTATEPA,DECSTATETX"
bb00a3ff-f141-4170-8a04-af4b8ed72951,,,"DECSTATECA,DECSTATEMA"
96d5c59b-f0f5-437b-8ca5-12e7e16b5385,,,DECSTATEOH
4d387af4-0874-4b9f-9064-9ca3c46e7acb,,,"DECSTATEAZ,DECSTATECA,DECSTATETX"
ba7cc7e5-c8cf-4693-8300-80bedb83b5fd,,,"DECSTATEIN,DECSTATEMI,DECSTATEOH"
d3e22377-3e90-4156-adf4-c4d626710762,ACTSTATEATTEND1IL,,
d4fbab51-ee29-427a-8557-36f107560259,,,
4a59182f-c1e1-4c3e-9727-e909f7a6f08e,,,
918f8ed2-f2be-4cb3-ad08-aff2d0a1958b,ACTSTATEATTEND1OTHER,,
3f4f6b74-ea1d-464e-8832-421e60618852,,,"DECSTATEIN,DECSTATEPA,DECSTATETX"
3eb7e3fb-3c50-4654-a8de-8e14c09c3d14,ACTSTATEATTEND1OH,ACTSTATEATTEND2AZ,
145f528a-6f77-4530-bdee-0e65d22be6e6,,,
31a8ec1b-25fe-479a-a94b-7a7140953803,ACTSTATEATTEND1LA,,
b9dd505a-6790-49e5-8144-304d65d697b2,,,"DECSTATENY,DECSTATEPA"
c8d36a03-d2d4-4d46-b171-98b21926c50e,,,
a22a923d-1fdc-40a5-9734-7292af6aca26,ACTSTATEATTEND1IL,ACTSTATEATTEND2IA,
5e11a3c7-87fd-40bc-9a86-32647c263d61,,,"DECSTATECA,DECSTATENC,DECSTATENM"
cfe5d6fc-5595-4859-86a9-aff69cd47240,,,
87a444bf-d7d2-4523-aefd-64a6a66ca9bb,,,"DECSTATECA,DECSTATENY"
4444b1c0-01eb-4502-a298-5920112cc7a9,ACTSTATEATTEND1LA,ACTSTATEATTEND2NC,"DECSTATELA,DECSTATENC"
b7c00620-8aa8-430b-907d-9f32d20225da,ACTSTATEATTEND1TX,,
f75d67db-6b9c-49fe-8325-02a0e11448f1,,,
db9fb9e1-353f-4e85-a843-f278942403f4,,,
21334ca0-f6bd-47fe-b048-550ddd97520c,,,
c87d955c-57a0-49a8-912d-856f99741b8c,ACTSTATEATTEND1FL,ACTSTATEATTEND2NC,
